Title,Start,End,Duration
Sleep,11/10/15 0:00,11/10/15 5:45,5:45
Non-Technical Work,11/10/15 5:45,11/10/15 8:00,2:15
Meetings,11/10/15 8:00,11/10/15 8:15,0:15
Non-Technical Work,11/10/15 8:15,11/10/15 10:00,1:45
Non-Technical Work,11/10/15 10:00,11/10/15 11:30,1:30
Meetings,11/10/15 11:30,11/10/15 16:00,4:30
Meetings,11/10/15 16:00,11/10/15 17:45,1:45
Non-Technical Work,11/10/15 17:45,11/10/15 19:30,1:45
Meetings,11/10/15 19:30,11/10/15 21:30,2:00
Personal,11/10/15 21:30,11/10/15 22:45,1:15
Sleep,11/10/15 22:45,11/11/15 0:00,1:15
Sleep,11/11/15 0:00,11/11/15 5:00,5:00
Non-Technical Work,11/11/15 5:00,11/11/15 8:00,3:00
Meetings,11/11/15 8:00,11/11/15 10:30,2:30
Non-Technical Work,11/11/15 10:30,11/11/15 16:00,5:30
Meetings,11/11/15 16:00,11/11/15 17:30,1:30
Non-Technical Work,11/11/15 17:30,11/11/15 19:30,2:00
Meetings,11/11/15 19:30,11/11/15 23:00,3:30
Personal,11/11/15 23:00,11/11/15 23:30,0:30
Sleep,11/11/15 23:30,11/12/15 0:00,0:30
Sleep,11/12/15 0:00,11/12/15 4:45,4:45
Personal,11/12/15 4:45,11/12/15 5:30,0:45
Non-Technical Work,11/12/15 5:30,11/12/15 8:00,2:30
Meetings,11/12/15 8:00,11/12/15 9:30,1:30
Non-Technical Work,11/12/15 9:30,11/12/15 14:15,4:45
Meetings,11/12/15 14:15,11/12/15 14:45,0:30
Non-Technical Work,11/12/15 14:45,11/12/15 15:30,0:45
Meetings,11/12/15 15:30,11/12/15 21:00,5:30
Personal,11/12/15 21:00,11/12/15 22:45,1:45
Personal,11/12/15 22:45,11/12/15 23:15,0:30
Sleep,11/12/15 23:15,11/13/15 0:00,0:45
Sleep,11/13/15 0:00,11/13/15 5:00,5:00
Non-Technical Work,11/13/15 5:00,11/13/15 8:00,3:00
Meetings,11/13/15 8:00,11/13/15 8:30,0:30
Non-Technical Work,11/13/15 8:30,11/13/15 9:00,0:30
Meetings,11/13/15 9:00,11/13/15 10:15,1:15
Non-Technical Work,11/13/15 10:15,11/13/15 12:15,2:00
Meetings,11/13/15 12:15,11/13/15 12:45,0:30
Non-Technical Work,11/13/15 12:45,11/13/15 13:15,0:30
Travel,11/13/15 13:15,11/13/15 13:45,0:30
Non-Technical Work,11/13/15 13:45,11/13/15 15:30,1:45
Travel,11/13/15 15:30,11/13/15 19:30,4:00
Personal,11/13/15 19:30,11/13/15 23:15,3:45
Sleep,11/13/15 23:15,11/14/15 0:00,0:45
Sleep,11/14/15 0:00,11/14/15 8:00,8:00
Non-Technical Work,11/14/15 8:00,11/14/15 11:00,3:00
Personal,11/14/15 11:00,11/14/15 22:45,11:45
Personal,11/14/15 22:45,11/14/15 23:15,0:30
Sleep,11/14/15 23:15,11/15/15 0:00,0:45
Sleep,11/15/15 0:00,11/15/15 6:30,6:30
Non-Technical Work,11/15/15 6:30,11/15/15 8:15,1:45
Personal,11/15/15 8:15,11/15/15 13:00,4:45
Non-Technical Work,11/15/15 13:00,11/15/15 18:00,5:00
Personal,11/15/15 18:00,11/15/15 22:45,4:45
Personal,11/15/15 22:45,11/15/15 23:15,0:30
Sleep,11/15/15 23:15,11/16/15 0:00,0:45
Sleep,11/16/15 0:00,11/16/15 5:00,5:00
Non-Technical Work,11/16/15 5:00,11/16/15 7:00,2:00
Personal,11/16/15 7:00,11/16/15 13:00,6:00
Non-Technical Work,11/16/15 13:00,11/16/15 18:00,5:00
Personal,11/16/15 18:00,11/16/15 22:45,4:45
Sleep,11/16/15 22:45,11/16/15 23:30,0:45
Travel,11/16/15 23:30,11/17/15 0:00,0:30
Travel,11/17/15 0:00,11/17/15 6:15,6:15
Non-Technical Work,11/17/15 6:15,11/17/15 9:45,3:30
Travel,11/17/15 9:45,11/17/15 10:00,0:15
Non-Technical Work,11/17/15 10:00,11/17/15 11:00,1:00
Travel,11/17/15 11:00,11/17/15 11:30,0:30
Meetings,11/17/15 11:30,11/17/15 12:45,1:15
Non-Technical Work,11/17/15 12:45,11/17/15 14:00,1:15
Meetings,11/17/15 14:00,11/17/15 14:15,0:15
Non-Technical Work,11/17/15 14:15,11/17/15 16:00,1:45
Meetings,11/17/15 16:00,11/17/15 22:00,6:00
Personal,11/17/15 22:00,11/17/15 23:00,1:00
Sleep,11/17/15 23:00,11/18/15 0:00,1:00
Sleep,11/18/15 0:00,11/18/15 5:00,5:00
Non-Technical Work,11/18/15 5:00,11/18/15 8:00,3:00
Meetings,11/18/15 8:00,11/18/15 8:15,0:15
Non-Technical Work,11/18/15 8:15,11/18/15 10:00,1:45
Meetings,11/18/15 10:00,11/18/15 11:00,1:00
Non-Technical Work,11/18/15 11:00,11/18/15 12:45,1:45
Meetings,11/18/15 12:45,11/18/15 13:15,0:30
Non-Technical Work,11/18/15 13:15,11/18/15 14:00,0:45
Meetings,11/18/15 14:00,11/18/15 22:00,8:00
Personal,11/18/15 22:00,11/18/15 23:00,1:00
Sleep,11/18/15 23:00,11/19/15 0:00,1:00
Sleep,11/19/15 0:00,11/19/15 5:00,5:00
Non-Technical Work,11/19/15 5:00,11/19/15 8:00,3:00
Meetings,11/19/15 8:00,11/19/15 8:15,0:15
Non-Technical Work,11/19/15 8:15,11/19/15 9:00,0:45
Meetings,11/19/15 9:00,11/19/15 9:15,0:15
Non-Technical Work,11/19/15 9:15,11/19/15 10:00,0:45
Meetings,11/19/15 10:00,11/19/15 11:00,1:00
Non-Technical Work,11/19/15 11:00,11/19/15 13:45,2:45
Meetings,11/19/15 13:45,11/19/15 15:15,1:30
Non-Technical Work,11/19/15 15:15,11/19/15 17:00,1:45
Meetings,11/19/15 17:00,11/20/15 0:00,7:00
Sleep,11/20/15 0:00,11/20/15 5:00,5:00
Non-Technical Work,11/20/15 5:00,11/20/15 8:00,3:00
Meetings,11/20/15 8:00,11/20/15 9:00,1:00
Non-Technical Work,11/20/15 9:00,11/20/15 11:00,2:00
Meetings,11/20/15 11:00,11/20/15 12:00,1:00
Non-Technical Work,11/20/15 12:00,11/20/15 16:30,4:30
Meetings,11/20/15 16:30,11/20/15 18:30,2:00
Non-Technical Work,11/20/15 18:30,11/20/15 21:00,2:30
Sleep,11/20/15 21:00,11/20/15 22:30,1:30
Travel,11/20/15 22:30,11/21/15 0:00,1:30
Travel,11/21/15 0:00,11/21/15 2:30,2:30
Personal,11/21/15 2:30,11/21/15 3:00,0:30
Sleep,11/21/15 3:00,11/21/15 6:30,3:30
Personal,11/21/15 6:30,11/21/15 9:00,2:30
Non-Technical Work,11/21/15 9:00,11/21/15 13:00,4:00
Sleep,11/21/15 13:00,11/21/15 15:00,2:00
Personal,11/21/15 15:00,11/21/15 19:00,4:00
Non-Technical Work,11/21/15 19:00,11/21/15 23:30,4:30
Sleep,11/21/15 23:30,11/22/15 0:00,0:30
Sleep,11/22/15 0:00,11/22/15 5:00,5:00
Non-Technical Work,11/22/15 5:00,11/22/15 8:00,3:00
Meetings,11/22/15 8:00,11/22/15 8:15,0:15
Non-Technical Work,11/22/15 8:15,11/22/15 18:00,9:45
Personal,11/22/15 18:00,11/22/15 20:30,2:30
Non-Technical Work,11/22/15 20:30,11/23/15 0:00,3:30
Personal,11/23/15 0:00,11/23/15 0:30,0:30
Sleep,11/23/15 0:30,11/23/15 5:00,4:30
Non-Technical Work,11/23/15 5:00,11/23/15 8:00,3:00
Meetings,11/23/15 8:00,11/23/15 9:00,1:00
Non-Technical Work,11/23/15 9:00,11/23/15 10:30,1:30
Meetings,11/23/15 10:30,11/23/15 11:30,1:00
Non-Technical Work,11/23/15 11:30,11/23/15 19:00,7:30
Personal,11/23/15 19:00,11/23/15 20:30,1:30
Non-Technical Work,11/23/15 20:30,11/24/15 0:00,3:30
Personal,11/24/15 0:00,11/24/15 0:30,0:30
Sleep,11/24/15 0:30,11/24/15 7:00,6:30
Non-Technical Work,11/24/15 7:00,11/24/15 7:30,0:30
Personal,11/24/15 7:30,11/24/15 8:00,0:30
Meetings,11/24/15 8:00,11/24/15 9:00,1:00
Non-Technical Work,11/24/15 9:00,11/24/15 11:30,2:30
Meetings,11/24/15 11:30,11/24/15 12:30,1:00
Non-Technical Work,11/24/15 12:30,11/24/15 19:00,6:30
Personal,11/24/15 19:00,11/24/15 20:30,1:30
Non-Technical Work,11/24/15 20:30,11/25/15 0:00,3:30
Personal,11/25/15 0:00,11/25/15 0:30,0:30
Sleep,11/25/15 0:30,11/25/15 5:00,4:30
Non-Technical Work,11/25/15 5:00,11/25/15 8:00,3:00
Meetings,11/25/15 8:00,11/25/15 9:00,1:00
Non-Technical Work,11/25/15 9:00,11/25/15 10:30,1:30
Meetings,11/25/15 10:30,11/25/15 13:00,2:30
Non-Technical Work,11/25/15 13:00,11/25/15 15:30,2:30
Personal,11/25/15 15:30,11/25/15 16:15,0:45
Non-Technical Work,11/25/15 16:15,11/25/15 19:00,2:45
Personal,11/25/15 19:00,11/25/15 21:30,2:30
Non-Technical Work,11/25/15 21:30,11/26/15 0:00,2:30
Non-Technical Work,11/26/15 0:00,11/26/15 0:30,0:30
Personal,11/26/15 0:30,11/26/15 1:00,0:30
Sleep,11/26/15 1:00,11/26/15 5:00,4:00
Non-Technical Work,11/26/15 5:00,11/26/15 8:00,3:00
Meetings,11/26/15 8:00,11/26/15 9:00,1:00
Non-Technical Work,11/26/15 9:00,11/26/15 10:00,1:00
Exercise,11/26/15 10:00,11/26/15 12:00,2:00
Technical Work,11/26/15 12:00,11/26/15 14:15,2:15
Non-Technical Work,11/26/15 14:15,11/26/15 16:00,1:45
Personal,11/26/15 16:00,11/26/15 18:45,2:45
Non-Technical Work,11/26/15 18:45,11/26/15 21:30,2:45
Technical Work,11/26/15 21:30,11/27/15 0:00,2:30
Sleep,11/27/15 0:00,11/27/15 5:30,5:30
Non-Technical Work,11/27/15 5:30,11/27/15 8:00,2:30
Meetings,11/27/15 8:00,11/27/15 9:00,1:00
Non-Technical Work,11/27/15 9:00,11/27/15 10:30,1:30
Meetings,11/27/15 10:30,11/27/15 11:30,1:00
Non-Technical Work,11/27/15 11:30,11/27/15 19:00,7:30
Personal,11/27/15 19:00,11/27/15 21:30,2:30
Non-Technical Work,11/27/15 21:30,11/28/15 0:00,2:30
Non-Technical Work,11/28/15 0:00,11/28/15 1:30,1:30
Sleep,11/28/15 1:30,11/28/15 6:30,5:00
Personal,11/28/15 6:30,11/28/15 9:00,2:30
Non-Technical Work,11/28/15 9:00,11/28/15 17:15,8:15
Personal,11/28/15 17:15,11/28/15 19:45,2:30
Non-Technical Work,11/28/15 19:45,11/29/15 0:00,4:15
Non-Technical Work,11/29/15 0:00,11/29/15 0:45,0:45
Sleep,11/29/15 0:45,11/29/15 7:30,6:45
Personal,11/29/15 7:30,11/29/15 9:15,1:45
Non-Technical Work,11/29/15 9:15,11/29/15 14:00,4:45
Personal,11/29/15 14:00,11/29/15 16:30,2:30
Non-Technical Work,11/29/15 16:30,11/29/15 18:30,2:00
Personal,11/29/15 18:30,11/29/15 20:15,1:45
Non-Technical Work,11/29/15 20:15,11/30/15 0:00,3:45
Sleep,11/30/15 0:00,11/30/15 6:00,6:00
Non-Technical Work,11/30/15 6:00,11/30/15 8:00,2:00
Meetings,11/30/15 8:00,11/30/15 9:00,1:00
Non-Technical Work,11/30/15 9:00,11/30/15 10:30,1:30
Meetings,11/30/15 10:30,11/30/15 11:30,1:00
Non-Technical Work,11/30/15 11:30,11/30/15 18:30,7:00
Personal,11/30/15 18:30,11/30/15 20:30,2:00
Non-Technical Work,11/30/15 20:30,12/1/15 0:00,3:30
Non-Technical Work,12/1/15 0:00,12/1/15 0:30,0:30
Sleep,12/1/15 0:30,12/1/15 5:30,5:00
Personal,12/1/15 5:30,12/1/15 6:15,0:45
Non-Technical Work,12/1/15 6:15,12/1/15 8:00,1:45
Meetings,12/1/15 8:00,12/1/15 8:30,0:30
Non-Technical Work,12/1/15 8:30,12/1/15 9:00,0:30
Meetings,12/1/15 9:00,12/1/15 9:45,0:45
Non-Technical Work,12/1/15 9:45,12/1/15 10:30,0:45
Meetings,12/1/15 10:30,12/1/15 11:30,1:00
Non-Technical Work,12/1/15 11:30,12/1/15 18:30,7:00
Personal,12/1/15 18:30,12/1/15 20:30,2:00
Non-Technical Work,12/1/15 20:30,12/2/15 0:00,3:30
Personal,12/2/15 0:00,12/2/15 0:30,0:30
Sleep,12/2/15 0:30,12/2/15 5:30,5:00
Personal,12/2/15 5:30,12/2/15 6:15,0:45
Non-Technical Work,12/2/15 6:15,12/2/15 8:00,1:45
Meetings,12/2/15 8:00,12/2/15 8:30,0:30
Non-Technical Work,12/2/15 8:30,12/2/15 10:30,2:00
Meetings,12/2/15 10:30,12/2/15 11:00,0:30
Non-Technical Work,12/2/15 11:00,12/2/15 18:30,7:30
Personal,12/2/15 18:30,12/2/15 20:30,2:00
Non-Technical Work,12/2/15 20:30,12/3/15 0:00,3:30
Personal,12/3/15 0:00,12/3/15 0:30,0:30
Sleep,12/3/15 0:30,12/3/15 6:15,5:45
Personal,12/3/15 6:15,12/3/15 8:00,1:45
Meetings,12/3/15 8:00,12/3/15 8:30,0:30
Non-Technical Work,12/3/15 8:30,12/3/15 13:00,4:30
Technical Work,12/3/15 13:00,12/3/15 18:30,5:30
Personal,12/3/15 18:30,12/3/15 20:30,2:00
Technical Work,12/3/15 20:30,12/4/15 0:00,3:30
Technical Work,12/4/15 0:00,12/4/15 0:30,0:30
Personal,12/4/15 0:30,12/4/15 1:00,0:30
Sleep,12/4/15 1:00,12/4/15 6:30,5:30
Personal,12/4/15 6:30,12/4/15 8:00,1:30
Meetings,12/4/15 8:00,12/4/15 8:30,0:30
Non-Technical Work,12/4/15 8:30,12/4/15 10:30,2:00
Meetings,12/4/15 10:30,12/4/15 11:00,0:30
Technical Work,12/4/15 11:00,12/4/15 19:00,8:00
Personal,12/4/15 19:00,12/4/15 21:00,2:00
Technical Work,12/4/15 21:00,12/5/15 0:00,3:00
Personal,12/5/15 0:00,12/5/15 0:30,0:30
Sleep,12/5/15 0:30,12/5/15 6:00,5:30
Personal,12/5/15 6:00,12/5/15 9:00,3:00
Technical Work,12/5/15 9:00,12/5/15 12:00,3:00
Personal,12/5/15 12:00,12/5/15 15:00,3:00
Technical Work,12/5/15 15:00,12/5/15 18:45,3:45
Personal,12/5/15 18:45,12/5/15 20:45,2:00
Technical Work,12/5/15 20:45,12/6/15 0:00,3:15
Personal,12/6/15 0:00,12/6/15 0:30,0:30
Sleep,12/6/15 0:30,12/6/15 6:00,5:30
Personal,12/6/15 6:00,12/6/15 12:00,6:00
Technical Work,12/6/15 12:00,12/6/15 19:30,7:30
Personal,12/6/15 19:30,12/6/15 22:00,2:30
Sleep,12/6/15 22:00,12/7/15 0:00,2:00
Sleep,12/7/15 0:00,12/7/15 2:00,2:00
Travel,12/7/15 2:00,12/7/15 14:30,12:30
Meetings,12/7/15 14:30,12/7/15 22:30,8:00
Sleep,12/7/15 22:30,12/8/15 0:00,1:30
Sleep,12/8/15 0:00,12/8/15 6:00,6:00
Personal,12/8/15 6:00,12/8/15 6:45,0:45
Non-Technical Work,12/8/15 6:45,12/8/15 8:00,1:15
Meetings,12/8/15 8:00,12/9/15 0:00,16:00
Sleep,12/9/15 0:00,12/9/15 6:30,6:30
Personal,12/9/15 6:30,12/9/15 7:00,0:30
Non-Technical Work,12/9/15 7:00,12/9/15 8:00,1:00
Meetings,12/9/15 8:00,12/9/15 8:30,0:30
Non-Technical Work,12/9/15 8:30,12/9/15 10:30,2:00
Meetings,12/9/15 10:30,12/9/15 18:00,7:30
Non-Technical Work,12/9/15 18:00,12/9/15 20:00,2:00
Meetings,12/9/15 20:00,12/10/15 0:00,4:00
Meetings,12/10/15 0:00,12/10/15 1:00,1:00
Sleep,12/10/15 1:00,12/10/15 7:30,6:30
Personal,12/10/15 7:30,12/10/15 8:00,0:30
Meetings,12/10/15 8:00,12/10/15 8:30,0:30
Non-Technical Work,12/10/15 8:30,12/10/15 11:00,2:30
Meetings,12/10/15 11:00,12/10/15 12:30,1:30
Non-Technical Work,12/10/15 12:30,12/10/15 16:30,4:00
Meetings,12/10/15 16:30,12/11/15 0:00,7:30
Meetings,12/11/15 0:00,12/11/15 0:30,0:30
Sleep,12/11/15 0:30,12/11/15 7:00,6:30
Personal,12/11/15 7:00,12/11/15 8:00,1:00
Meetings,12/11/15 8:00,12/11/15 8:30,0:30
Non-Technical Work,12/11/15 8:30,12/11/15 11:30,3:00
Travel,12/11/15 11:30,12/12/15 0:00,12:30
Sleep,12/12/15 0:00,12/12/15 7:45,7:45
Personal,12/12/15 7:45,12/12/15 10:45,3:00
Non-Technical Work,12/12/15 10:45,12/12/15 15:30,4:45
Personal,12/12/15 15:30,12/12/15 19:30,4:00
Non-Technical Work,12/12/15 19:30,12/13/15 0:00,4:30
Technical Work,12/13/15 0:00,12/13/15 0:30,0:30
Sleep,12/13/15 0:30,12/13/15 6:30,6:00
Personal,12/13/15 6:30,12/13/15 9:00,2:30
Non-Technical Work,12/13/15 9:00,12/13/15 15:15,6:15
Personal,12/13/15 15:15,12/13/15 17:45,2:30
Non-Technical Work,12/13/15 17:45,12/13/15 20:00,2:15
Personal,12/13/15 20:00,12/13/15 21:00,1:00
Meetings,12/13/15 21:00,12/13/15 21:30,0:30
Technical Work,12/13/15 21:30,12/14/15 0:00,2:30
Technical Work,12/14/15 0:00,12/14/15 0:30,0:30
Sleep,12/14/15 0:30,12/14/15 6:30,6:00
Personal,12/14/15 6:30,12/14/15 8:00,1:30
Meetings,12/14/15 8:00,12/14/15 8:30,0:30
Technical Work,12/14/15 8:30,12/14/15 18:30,10:00
Personal,12/14/15 18:30,12/14/15 21:00,2:30
Meetings,12/14/15 21:00,12/14/15 21:30,0:30
Technical Work,12/14/15 21:30,12/15/15 0:00,2:30
Sleep,12/15/15 0:00,12/15/15 5:30,5:30
Personal,12/15/15 5:30,12/15/15 7:00,1:30
Non-Technical Work,12/15/15 7:00,12/15/15 8:00,1:00
Meetings,12/15/15 8:00,12/15/15 8:30,0:30
Technical Work,12/15/15 8:30,12/15/15 19:00,10:30
Personal,12/15/15 19:00,12/15/15 21:00,2:00
Meetings,12/15/15 21:00,12/15/15 21:30,0:30
Technical Work,12/15/15 21:30,12/16/15 0:00,2:30
Sleep,12/16/15 0:00,12/16/15 6:00,6:00
Personal,12/16/15 6:00,12/16/15 8:00,2:00
Meetings,12/16/15 8:00,12/16/15 8:30,0:30
Technical Work,12/16/15 8:30,12/16/15 19:30,11:00
Personal,12/16/15 19:30,12/16/15 21:00,1:30
Meetings,12/16/15 21:00,12/16/15 21:30,0:30
Technical Work,12/16/15 21:30,12/17/15 0:00,2:30
Technical Work,12/17/15 0:00,12/17/15 1:00,1:00
Sleep,12/17/15 1:00,12/17/15 5:30,4:30
Personal,12/17/15 5:30,12/17/15 7:45,2:15
Meetings,12/17/15 7:45,12/17/15 8:30,0:45
Technical Work,12/17/15 8:30,12/17/15 19:30,11:00
Personal,12/17/15 19:30,12/18/15 0:00,4:30
Sleep,12/18/15 0:00,12/18/15 7:45,7:45
Meetings,12/18/15 7:45,12/18/15 8:30,0:45
Personal,12/18/15 8:30,12/18/15 20:30,12:00
Sleep,12/18/15 20:30,12/19/15 0:00,3:30
Sleep,12/19/15 0:00,12/19/15 0:30,0:30
Travel,12/19/15 0:30,12/19/15 14:00,13:30
Personal,12/19/15 14:00,12/19/15 19:30,5:30
Technical Work,12/19/15 19:30,12/20/15 0:00,4:30
Technical Work,12/20/15 0:00,12/20/15 1:30,1:30
Sleep,12/20/15 1:30,12/20/15 5:30,4:00
Personal,12/20/15 5:30,12/20/15 13:00,7:30
Technical Work,12/20/15 13:00,12/20/15 15:00,2:00
Personal,12/20/15 15:00,12/20/15 22:30,7:30
Technical Work,12/20/15 22:30,12/21/15 0:00,1:30
Technical Work,12/21/15 0:00,12/21/15 1:00,1:00
Sleep,12/21/15 1:00,12/21/15 5:15,4:15
Personal,12/21/15 5:15,12/21/15 8:00,2:45
Meetings,12/21/15 8:00,12/21/15 8:45,0:45
Personal,12/21/15 8:45,12/21/15 13:00,4:15
Non-Technical Work,12/21/15 13:00,12/21/15 14:30,1:30
Personal,12/21/15 14:30,12/21/15 22:30,8:00
Technical Work,12/21/15 22:30,12/22/15 0:00,1:30
Technical Work,12/22/15 0:00,12/22/15 1:00,1:00
Sleep,12/22/15 1:00,12/22/15 7:00,6:00
Personal,12/22/15 7:00,12/22/15 8:00,1:00
Meetings,12/22/15 8:00,12/22/15 8:45,0:45
"Technical Work
",12/22/15 8:45,12/22/15 11:00,2:15
Personal,12/22/15 11:00,12/22/15 15:30,4:30
"Technical Work
",12/22/15 15:30,12/22/15 19:00,3:30
Personal,12/22/15 19:00,12/22/15 20:30,1:30
Technical Work,12/22/15 20:30,12/23/15 0:00,3:30
Technical Work,12/23/15 0:00,12/23/15 1:00,1:00
Sleep,12/23/15 1:00,12/23/15 7:00,6:00
Personal,12/23/15 7:00,12/23/15 8:00,1:00
Meetings,12/23/15 8:00,12/23/15 8:45,0:45
Non-Technical Work,12/23/15 8:45,12/23/15 10:30,1:45
Personal,12/23/15 10:30,12/23/15 16:30,6:00
Non-Technical Work,12/23/15 16:30,12/23/15 18:15,1:45
Personal,12/23/15 18:15,12/23/15 20:30,2:15
Technical Work,12/23/15 20:30,12/24/15 0:00,3:30
Technical Work,12/24/15 0:00,12/24/15 1:00,1:00
Sleep,12/24/15 1:00,12/24/15 7:00,6:00
Personal,12/24/15 7:00,12/24/15 22:30,15:30
Non-Technical Work,12/24/15 22:30,12/25/15 0:00,1:30
Technical Work,12/25/15 0:00,12/25/15 1:00,1:00
Sleep,12/25/15 1:00,12/25/15 7:15,6:15
Personal,12/25/15 7:15,12/25/15 22:30,15:15
Non-Technical Work,12/25/15 22:30,12/26/15 0:00,1:30
Technical Work,12/26/15 0:00,12/26/15 1:00,1:00
Sleep,12/26/15 1:00,12/26/15 7:00,6:00
Personal,12/26/15 7:00,12/26/15 11:30,4:30
Non-Technical Work,12/26/15 11:30,12/26/15 16:30,5:00
Personal,12/26/15 16:30,12/26/15 19:30,3:00
Non-Technical Work,12/26/15 19:30,12/27/15 0:00,4:30
Technical Work,12/27/15 0:00,12/27/15 1:00,1:00
Sleep,12/27/15 1:00,12/27/15 5:30,4:30
Travel,12/27/15 5:30,12/27/15 18:00,12:30
Personal,12/27/15 18:00,12/27/15 20:30,2:30
Sleep,12/27/15 20:30,12/28/15 0:00,3:30
Sleep,12/28/15 0:00,12/28/15 6:00,6:00
Personal,12/28/15 6:00,12/28/15 8:00,2:00
Meetings,12/28/15 8:00,12/28/15 8:30,0:30
Technical Work,12/28/15 8:30,12/28/15 18:30,10:00
Personal,12/28/15 18:30,12/28/15 20:00,1:30
Technical Work,12/28/15 20:00,12/29/15 0:00,4:00
Technical Work,12/29/15 0:00,12/29/15 1:00,1:00
Sleep,12/29/15 1:00,12/29/15 6:30,5:30
Personal,12/29/15 6:30,12/29/15 8:00,1:30
Meetings,12/29/15 8:00,12/29/15 8:30,0:30
Technical Work,12/29/15 8:30,12/29/15 18:30,10:00
Personal,12/29/15 18:30,12/29/15 20:00,1:30
Technical Work,12/29/15 20:00,12/30/15 0:00,4:00
Technical Work,12/30/15 0:00,12/30/15 0:30,0:30
Sleep,12/30/15 0:30,12/30/15 6:30,6:00
Personal,12/30/15 6:30,12/30/15 8:00,1:30
Meetings,12/30/15 8:00,12/30/15 8:30,0:30
Technical Work,12/30/15 8:30,12/30/15 19:45,11:15
Personal,12/30/15 19:45,12/30/15 20:30,0:45
Technical Work,12/30/15 20:30,12/31/15 0:00,3:30
Technical Work,12/31/15 0:00,12/31/15 1:00,1:00
Sleep,12/31/15 1:00,12/31/15 6:30,5:30
Personal,12/31/15 6:30,12/31/15 8:00,1:30
Meetings,12/31/15 8:00,12/31/15 8:30,0:30
Technical Work,12/31/15 8:30,12/31/15 18:30,10:00
Personal,12/31/15 18:30,12/31/15 19:45,1:15
Technical Work,12/31/15 19:45,1/1/16 0:00,4:15
